index,terminals,next,accept,stack,return,error
1,! ( numeric true false void int float id id(,2,0,0,0,1
2,! ( numeric true false void int float id id(,15,0,1,0,1
3,+ - || = >= <= > < == != ) ;,5,0,1,0,1
4,= >= <= > < == != ) ;,60,0,0,0,1
5,+ -,8,0,0,0,0
6,||,11,0,0,0,0
7,= >= <= > < == != ) ;,14,0,0,0,1
8,+ -,9,1,0,0,1
9,! ( numeric true false void int float id id(,15,0,1,0,1
10,+ - || = >= <= > < == != ) ;,5,0,0,0,1
11,||,12,1,0,0,1
12,! ( numeric true false void int float id id(,15,0,1,0,1
13,+ - || = >= <= > < == != ) ;,5,0,0,0,1
14,= >= <= > < == != ) ;,0,0,0,1,1
15,! ( numeric true false void int float id id(,16,0,0,0,1
16,! ( numeric true false void int float id id(,28,0,1,0,1
17,* / & + - || = >= <= > < == != ) ;,18,0,0,0,1
18,* /,21,0,0,0,0
19,&,24,0,0,0,0
20,+ - || = >= <= > < == != ) ;,27,0,0,0,1
21,* /,22,1,0,0,1
22,! ( numeric true false void int float id id(,28,0,1,0,1
23,* / & + - || = >= <= > < == != ) ;,18,0,0,0,1
24,&,25,1,0,0,1
25,! ( numeric true false void int float id id(,28,0,1,0,1
26,* / & + - || = >= <= > < == != ) ;,18,0,0,0,1
27,+ - || = >= <= > < == != ) ;,0,0,0,1,1
28,!,33,0,0,0,0
29,(,35,0,0,0,0
30,numeric,38,0,0,0,0
31,true false,39,0,0,0,0
32,void int float id id(,40,0,0,0,1
33,!,34,1,0,0,1
34,! ( numeric true false void int float id id(,28,0,0,0,1
35,(,36,1,0,0,1
36,! ( numeric true false void int float id id(,1,0,0,0,1
37,),0,1,0,1,1
38,numeric,0,1,0,1,1
39,true false,0,1,0,1,1
40,void int float id id(,41,0,0,0,1
41,void int float id id(,42,0,0,0,1
42,void int float id id(,44,0,1,0,1
43,id id(,48,0,0,0,1
44,void int float,46,0,0,0,0
45,id id(,47,0,0,0,1
46,void int float,0,1,0,1,0
47,id id(,0,0,0,1,1
48,id,50,0,0,0,0
49,id(,51,0,0,0,1
50,id,0,1,0,1,1
51,id(,52,1,0,0,1
52,void int float id id(,41,0,1,0,1
53,", )",54,0,0,0,1
54,",",56,0,0,0,0
55,),59,0,0,0,1
56,",",57,1,0,0,1
57,void int float id id(,41,0,1,0,1
58,", )",54,0,0,0,1
59,),0,1,0,1,1
60,= >= <= > < == !=,63,0,0,0,0
61,;,65,0,0,0,0
62,),66,0,0,0,1
63,= >= <= > < == !=,64,1,0,0,1
64,! ( numeric true false void int float id id(,1,0,0,0,1
65,;,0,1,0,1,1
66,),0,0,0,1,1